#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
650,-365553.8147897888,59523.68032463985,-306030.13446514896,196.9017757458314
660,-353180.4399398635,47163.99302322251,-306016.446916641,156.01646146352772
670,-354614.31157517666,48594.230679049564,-306020.0808961271,160.7476261468097
680,-364977.93212245597,58944.27628862119,-306033.6558338348,194.985132101753
690,-365513.84406425804,59479.3419733335,-306034.50209092454,196.75510638570032
700,-354785.8595651218,48764.55934114435,-306021.3002239775,161.31106603903342
710,-350770.7050608436,44755.20672649221,-306015.4983343514,148.0482999413967
720,-361282.7714057753,55255.30161820726,-306027.469787568,182.7821624714424
730,-370453.1945952185,64414.45324185206,-306038.74135336647,213.08024231437236
740,-363097.7584715571,57065.67731208513,-306032.081159472,188.77080744345173
750,-348980.4849834501,42963.624057371824,-306016.8609260783,142.12182148742195
760,-348793.5144116492,42776.804853158974,-306016.7095584902,141.50383159075713
770,-362947.21320655197,56915.675774266056,-306031.5374322859,188.2746088045219
780,-370879.7921197918,64840.31031084937,-306039.4818089424,214.48895919212853
790,-361559.3544524739,55530.16408779306,-306029.19036468084,183.69139570521014
800,-348832.75286651513,42815.8271243235,-306016.9257421916,141.6329155863035
810,-349843.5353819102,43823.198741013344,-306020.33664089686,144.9652575900299
820,-360536.25781059556,54503.70040540855,-306032.557405187,180.29589796888402
830,-364162.4690907214,58127.46631283793,-306035.00277788343,192.2831598143967
840,-357271.647802368,51245.925127331655,-306025.72267503635,169.51931739228488
850,-352927.7197122409,46907.135642139445,-306020.5840701015,155.16678828853514
860,-358367.7105830216,52339.62797622843,-306028.08260679315,173.13723940099683
870,-363593.2904664292,57557.27685167847,-306036.0136147507,190.39699758784192
